#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name,total_subscribers,total_views,total_videos
76,Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Jamie Oliver,5940000,967999088,2147
77,Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,5.8M,0.3%,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Dumori Bay,5340000,1131953,225
78,CGP Grey @UC2C_jShtL725hvbm1arSV9w,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Space Videos,5640000,114919317,144
79,Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,5.8M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Real Stories,6340000,1181049383,1118
80,ChrisMD @sirhcchris2010,5.6M,2.2%,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,More Emily,5280000,1480728391,634
81,Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,5.6M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,GRM Daily,6360000,7607043387,14939
82,Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,5.5M,-,संयुक्त अधिराज्य,,1.7M,,प्रोफ़ाइल देखें,Joe Weller,5300000,1018900782,322
83,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,5.5M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.7M,,प्रोफ़ाइल देखें,WildBrain Kids,9010000,4314813380,5082
84,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5.4M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Sky News,7800000,4439814317,49287
85,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,5.3M,-,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Jarvis,5670000,1713350022,728
86,Joe Weller @UCLk9wddjT0F-HILLRFXodtg,5.3M,1.9%,संयुक्त अधिराज्य,,1.6M,,प्रोफ़ाइल देखें,Thoughty2,5440000,1054880148,834
87,WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,5.2M,-,संयुक्त अधिराज्य,प्रसिद्धि,1.6M,,प्रोफ़ाइल देखें,Behzinga,4960000,580756481,872
88,Sky News @UCoMdktPbSTixAyNGwb-UYkQ,5.2M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,BBC Learning English,6710000,349191099,3654
89,Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,5M,0.8%,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Max and Katy,4720000,1317191311,509
90,Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Man City,7470000,2032650638,8443
91,TheDadLab @thedadlab,5M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,Wisp,5230000,1095396055,528
92,Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,4.9M,-,संयुक्त अधिराज्य,,1.5M,,प्रोफ़ाइल देखें,WillNE,5050000,862860123,306
93,BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Zerkaa,4700000,860350359,2023
94,Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Ben Phillips,4540000,1275653660,862
95,Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,4.8M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,Roxxsaurus,4580000,543174230,959
96,Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,4.7M,1.1%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,,,,
97,WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,4.7M,2.4%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,,,,
98,Zerkaa @UChntGq8THlUokhc1tT-M2wA,4.7M,2.3%,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,,,,
99,Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,4.6M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,,,,
100,Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,4.5M,-,संयुक्त अधिराज्य,,1.4M,,प्रोफ़ाइल देखें,,,,
